FUENTE;ANALITO;ALTURA [m];CAUDAL EMISIÓN [m3/s];DIÁMETRO CONDUCTO[m];TEMPERATURA[K];VELOCIDAD[m/s];CONCENTRACIÓN[mg/Nm3];TASA[g/s]
CALDERA DE RECUPERACIÓN;MP;130;819;6,2;453;27,13;43,73;21,6
CALDERA DE RECUPERACIÓN;CO;130;819;6,2;453;27,13;981,87;484,89
CALDERA DE RECUPERACIÓN;NOx;130;819;6,2;453;27,13;196;96,7
CALDERA DE RECUPERACIÓN;SO2;130;819;6,2;453;27,13;2,71;1,34
CALDERA DE RECUPERACIÓN;TRS;130;819;6,2;453;27,13;1,26;0,62
HORNO DE CAL;MP;130;88;3,4;540;9,69;23,13;1,03
HORNO DE CAL;NOx;130;88;3,4;540;9,69;207;9,22
HORNO DE CAL;SO2;130;88;3,4;540;9,69;7,2;0,32
HORNO DE CAL;TRS;130;88;3,4;540;9,69;17,75;0,79
CALDERA DE BIOMASA;MP;130;129;3,4;423;14,21;39,2;3,27
CALDERA DE BIOMASA;NOx;130;129;3,4;423;14,21;280;23,33
CALDERA DE BIOMASA;SO2;130;129;3,4;423;14,21;466;38,83
CALDERA DE BIOMASA;TRS;130;129;3,4;423;14,21;0,9;0,08
CALDERA DE RECUPERACIÓN;MP;130;819;6,2;453;27,13;43,73;21,6
CALDERA DE RECUPERACIÓN;CO;130;819;6,2;453;27,13;981,87;484,89
CALDERA DE RECUPERACIÓN;NOx;130;819;6,2;453;27,13;196;96,7
CALDERA DE RECUPERACIÓN;SO2;130;819;6,2;453;27,13;2,71;1,34
CALDERA DE RECUPERACIÓN;TRS;130;819;6,2;453;27,13;1,26;0,62
