FUENTE;ANALITO;ALTURA [m];CAUDAL EMISIÓN [m3/s];DIÁMETRO CONDUCTO[m];TEMPERATURA[K];VELOCIDAD[m/s];CONCENTRACIÓN[mg/Nm3];TASA[g/s];;
TG01_GAS;CO;53;896;6,5;460;27;37,61;20;;
TG01_GAS;SO2;53;896;6,5;460;27;7,52;4;;
TG01_GAS;NOx;53;896;6,5;460;27;56,42;30;;
TG01_GAS;PM10;53;896;6,5;460;27;7,52;4;;
TG02_GAS;CO;53;896;6,5;480;27;13,74;7;;
TG02_GAS;SO2;53;896;6,5;480;27;3,92;2;;
TG02_GAS;NOx;53;896;6,5;480;27;54,95;28;;
TG02_GAS;PM10;53;896;6,5;480;27;3,92;2;;
TG01_GASOIL;CO;53;896;6,5;460;27;84,63;45;;
TG01_GASOIL;SO2;53;896;6,5;460;27;37,61;20;;
TG01_GASOIL;NOx;53;896;6,5;460;27;112,84;60;;
TG01_GASOIL;PM10;53;896;6,5;460;27;18,81;10;;
TG02_GASOIL;CO;53;896;6,5;480;27;104,01;53;;
TG02_GASOIL;SO2;53;896;6,5;480;27;35,32;18;;
TG02_GASOIL;NOx;53;896;6,5;480;27;139,33;71;;
TG02_GASOIL;PM10;53;896;6,5;480;27;17,66;9;;
